time,VNINDEX,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2022-05-13,1182.77,12.8971,70.6631,23.0639,44.5039,14.6694,47.5037,67.0624,19.9088,9.0428,20.582,7.4899,10.8784,96.1926,55.4194,32.7882,64.985,6.9409,21.2514,15.5531,20.45,15.9668,14.9983,41.0464,66.0688,13.4211,39.0,125.9,52.6495,17.035,25.3
2022-05-16,1171.95,12.944,65.7466,23.354,42.0461,15.0684,47.3007,63.7093,20.4229,9.165,20.8114,7.5766,11.1041,89.5415,54.4891,34.3245,63.0278,6.5884,21.3434,16.4573,19.05,15.3999,15.4983,41.7212,63.9313,13.5538,38.5,126.0,52.4106,17.035,26.25
2022-05-17,1228.37,13.7178,67.4818,24.9859,44.9428,16.1118,50.5996,67.666,21.8249,9.776,21.9007,8.0971,11.8715,95.7956,58.2989,36.6947,66.1033,7.0493,21.3434,17.5726,20.35,16.4628,16.4981,42.7333,65.0,14.1108,39.0,128.0,55.7559,18.2099,27.4
2022-05-18,1240.76,13.5771,72.2056,25.3123,44.5039,16.3267,49.5845,70.4155,21.8249,9.776,21.9007,8.5598,12.0294,102.4466,59.1406,36.3435,64.5057,7.5374,21.3434,17.2712,21.75,17.0296,16.0982,42.3959,65.0,14.1108,39.0,125.7,55.9949,18.1805,27.4
2022-05-19,1241.64,13.4129,73.0732,25.131,43.9772,16.0198,49.2293,70.952,21.4511,9.8982,21.7287,8.4152,12.0746,109.5941,58.9191,35.5535,65.0648,7.8356,21.2208,17.1807,21.75,16.9115,15.5732,42.7333,65.0972,13.6864,38.95,125.3,54.9594,17.8868,27.4
2022-05-20,1240.71,13.624,73.266,25.0222,44.065,15.897,49.483,70.0802,22.1521,9.9185,21.5854,8.4442,12.1874,107.0131,59.3621,35.5535,62.5086,7.9983,21.3741,17.1506,21.6,16.8643,15.6982,42.3397,64.9029,13.7129,38.9,125.3,54.2425,17.9749,27.35
2022-05-23,1218.81,13.3426,68.5423,24.1881,44.5917,15.3446,48.9755,69.4096,22.1521,9.8574,21.0694,8.3285,11.8715,103.7372,57.9445,35.334,61.55,7.8627,21.1594,15.9751,20.35,16.4628,14.9983,41.8336,64.8057,13.1559,38.7,125.0,52.8088,17.2113,27.35
2022-05-24,1233.38,13.5067,71.3379,24.4782,44.6795,15.9584,49.8383,70.952,22.5727,10.0204,20.0087,8.4442,12.1197,108.2043,58.9191,35.1145,61.51,7.8085,20.8835,16.9396,21.75,16.6517,15.4483,42.5084,65.0,13.5272,38.8,125.3,54.8798,17.6225,28.1
2022-05-25,1268.43,14.0695,71.9163,25.3123,46.3473,16.5108,53.2894,72.6956,23.6943,10.448,19.7507,8.7912,12.6614,109.6934,61.5771,36.3435,61.51,8.2423,20.8835,17.3616,22.75,17.2422,15.9482,43.2955,65.9716,13.9781,38.85,125.7,57.2693,18.5036,29.45
2022-05-26,1268.57,14.2337,71.7235,25.4573,46.9617,16.388,53.5939,72.1591,23.6943,10.4073,20.0661,8.7912,12.4808,107.8072,61.5771,37.3531,61.1106,8.1881,21.0061,17.7534,22.4,17.3367,15.7982,43.1269,66.7489,13.8986,38.85,125.0,56.7914,18.2393,29.6
2022-05-27,1285.45,14.9137,70.8559,25.6024,47.0495,16.5722,56.7405,73.7686,23.8345,10.5091,20.3241,8.7044,12.6388,109.197,64.9882,37.397,61.51,8.2423,21.2208,18.0247,22.25,17.691,16.1482,43.5205,67.7205,14.2434,39.0,127.0,58.1455,18.2686,29.8
2022-05-30,1293.92,14.984,70.3739,25.9288,46.9617,16.7563,56.4868,73.7686,23.7878,10.5295,20.3241,8.849,12.6839,109.197,64.3237,38.0993,61.2704,8.2152,21.0368,18.0247,22.8,17.8327,16.4981,43.8578,68.4978,14.429,39.25,132.5,57.7472,18.5623,29.95
2022-05-31,1292.68,14.7965,70.4703,25.6024,46.1717,17.1246,55.7762,78.9324,23.5541,10.6313,19.8941,8.6755,12.526,111.5795,64.1908,38.626,61.3103,8.0254,20.7301,17.874,22.35,17.5493,16.1732,44.3639,69.6,14.2168,39.4,130.9,57.11,18.2099,30.15
2022-06-01,1299.52,14.5854,70.6631,25.4936,46.435,17.0325,56.7405,81.1455,23.5074,10.6517,19.6934,8.6466,12.4583,114.1605,64.4566,39.0649,61.1506,8.0525,20.5461,17.8137,22.25,17.4076,15.9982,45.2635,70.3,14.0577,39.65,131.3,57.2693,18.1218,30.05
2022-06-02,1288.62,14.8609,69.5063,25.1672,47.4884,17.0325,56.5883,79.7372,24.1149,10.5906,19.0054,8.4442,12.2777,113.4656,65.4312,38.1871,61.1106,7.917,20.7301,17.4822,21.55,17.195,15.9982,44.4201,69.5,13.9516,39.45,128.7,56.6321,17.7693,29.95
2022-06-03,1287.98,14.8316,68.9279,24.9134,47.5762,16.8177,57.8571,83.2915,23.3672,10.3462,19.1488,8.3285,12.368,111.9766,67.8678,38.1871,61.9893,7.8356,20.7301,17.6329,21.15,17.2186,15.9232,43.5767,69.4,13.8455,39.4,127.0,55.9949,18.063,29.95
2022-06-06,1290.01,14.8316,66.807,24.8046,47.4884,16.6949,57.3496,87.1141,23.5074,10.3055,19.0914,8.3285,12.3003,116.1459,68.5323,39.4161,63.3074,7.6187,20.6995,17.4822,20.5,17.0296,15.3483,44.8137,69.3,13.872,39.25,127.6,56.3931,17.9749,29.95
2022-06-07,1291.35,14.6264,68.8315,24.3694,49.244,16.8177,58.6691,87.1811,23.6476,10.3055,19.0341,8.2128,12.1649,117.0393,68.2226,40.9962,63.8666,7.4018,20.4848,16.9999,20.2,17.1005,14.7983,45.5447,68.5,13.7925,39.0,126.8,56.2338,17.8868,29.9
2022-06-08,1307.91,15.0661,69.4099,24.8771,48.6295,17.0018,58.3646,86.4434,25.2833,10.5702,18.8621,8.7623,12.6162,118.4291,68.401,41.1279,63.7867,7.917,20.7301,17.663,21.6,17.5965,15.1233,44.5326,68.5,14.1373,39.05,127.0,56.5524,18.6798,30.4
2022-06-09,1307.8,15.0954,69.4099,25.0222,48.2784,17.0018,58.5168,85.5716,25.6572,10.5091,19.3781,8.8201,12.5485,117.635,68.1334,41.1718,62.7083,7.9441,20.5155,17.4822,22.3,17.6674,15.0233,43.7454,68.3,14.0577,39.05,127.8,55.9152,18.5036,30.9
2022-06-10,1284.08,14.773,68.4458,24.5145,47.225,16.6335,55.827,79.6031,24.3953,10.5499,19.2634,8.6177,12.4131,116.1459,66.8849,39.5038,62.9879,7.7543,20.3008,16.7889,21.9,17.9272,14.8483,43.6891,68.3,13.819,39.0,127.7,55.3577,18.1511,30.5
2022-06-13,1227.04,14.0109,65.5538,23.1727,43.9772,15.498,52.9766,79.1336,22.7129,10.0,18.2315,8.0393,11.5781,108.2043,62.4259,36.8703,61.1106,7.3205,19.3808,15.6435,20.6,17.006,13.8234,42.9582,66.0,12.8641,38.2,124.9,52.8885,16.8882,29.0
2022-06-14,1230.31,14.1281,65.5538,23.4266,45.1183,15.498,54.7589,84.4986,23.1335,10.1426,17.3715,7.6055,11.5103,105.524,63.9866,37.8359,59.9124,7.3747,20.2395,14.679,20.9,16.8879,13.2485,43.2955,66.0,11.9888,38.3,124.8,52.6495,16.9469,29.15
2022-06-15,1213.93,13.835,64.6861,23.209,45.1183,15.0377,55.6193,83.1574,21.5445,9.9796,16.8555,7.1718,11.2395,105.2262,65.8593,35.9924,60.7112,7.1849,20.8528,13.6542,20.7,16.8643,13.2735,43.0144,65.9,11.6705,38.35,124.5,51.3751,16.9469,28.9
2022-06-16,1236.63,14.1281,66.5178,23.4266,45.9961,15.1605,56.5411,85.8399,21.9651,10.1629,17.7728,7.2874,11.2395,109.8919,70.4521,36.9142,62.4686,7.212,21.9957,13.3527,21.0,17.0296,13.3985,44.4763,66.0,11.7766,38.3,125.4,54.1629,17.035,29.2
2022-06-17,1217.3,13.5419,65.2646,22.9189,45.2061,14.4546,56.5411,89.8636,21.2174,10.0204,17.5752,6.9404,10.5173,116.1459,69.2928,36.7825,62.3089,7.0222,21.9591,12.4184,20.25,16.2974,12.7486,42.7895,66.0,10.9544,38.3,124.9,53.1274,16.3889,29.35
2022-06-20,1180.4,13.4247,62.7581,21.3958,44.2406,13.8715,56.5411,83.6268,20.3762,9.6741,16.3631,6.8247,10.1562,110.1897,65.9039,34.4561,60.7112,7.2391,21.9591,11.5744,18.85,15.5889,12.5236,42.7333,65.0,10.2383,37.8,127.0,54.9594,15.919,28.7
2022-06-21,1172.47,13.4833,61.3121,21.976,45.2061,14.1477,54.7589,80.1396,20.2827,9.613,15.7571,6.8826,10.1336,110.1897,65.5472,34.2367,61.9095,6.9951,21.9225,11.0318,19.2,15.5889,12.8236,43.6891,65.0,9.5486,37.5,127.8,58.703,15.9777,28.0
2022-06-22,1169.27,13.923,59.7696,22.1211,44.855,14.4853,51.9318,74.5734,20.3762,9.613,16.2874,7.3453,10.585,105.2262,62.2475,34.6756,62.3089,7.1578,22.5081,11.8098,20.5,16.4392,13.0985,42.7333,64.8,10.2117,37.5,129.3,56.2338,16.6826,28.5
2022-06-23,1188.88,13.923,61.0228,22.4837,46.2595,15.498,52.5464,78.3289,21.2174,9.5723,16.5147,7.808,10.8558,109.197,64.6554,35.729,61.2704,7.3476,22.6179,12.3436,21.3,16.9824,13.2485,42.677,63.2,10.7953,37.1,128.2,56.3135,16.712,28.05
2022-06-24,1185.48,13.9523,60.0588,22.6288,48.1028,15.1912,52.5464,76.4511,21.2641,9.3686,16.5147,7.6345,10.6979,108.7007,64.1203,35.8168,62.1491,7.3205,22.8374,12.4103,21.2,16.7698,12.9985,42.171,63.2,10.9279,37.3,128.3,56.9507,16.5357,27.55
2022-06-27,1202.82,14.0402,59.866,23.0277,48.3662,15.7129,53.161,76.7194,21.8249,9.5112,17.348,7.2874,10.8784,112.1751,63.7636,36.4313,62.6284,7.4018,22.9472,13.2443,21.5,16.7934,13.3485,42.1148,63.5,10.9809,36.9,133.0,56.6321,16.9763,28.75
2022-06-28,1218.1,14.3626,60.7336,24.4057,49.4195,16.388,55.1276,77.7924,21.9651,9.8778,17.0449,7.7501,11.1492,113.1678,64.9229,36.6947,62.7482,7.6729,23.0204,13.0775,22.55,17.3367,13.7984,42.902,63.8,11.7236,36.8,133.0,56.3931,17.6225,28.85
2022-06-29,1218.09,14.1868,62.1797,25.3123,48.2784,16.4801,55.312,78.463,21.4043,9.9389,17.2343,7.808,11.1492,113.1678,65.1013,35.9924,61.51,7.5916,23.1302,13.1776,22.6,17.3603,13.6985,42.4521,63.3,11.8827,36.7,132.3,57.5879,17.6225,28.45
